update,epoch,batch,batch_size,free_energy,test_mse,invalid_predictions,mean_gate_mass,min_gate_mass,min_var_w_mean,median_var_w_mean,max_var_w_mean,min_var_w_a,median_var_w_a,max_var_w_a,max_precision_w_mean,max_precision_w_a,mean_w_mean_slope_norm,max_w_mean_slope_norm,mean_w_a_slope_norm,max_w_a_slope_norm,mean_abs_w_a_bias,w_a_bias_slope_ratio,gate_active_fraction,mean_effective_gate_count
1,1,1,24,-8.186960939788385e7,0.20831806787924617,0,879.2303227108903,458.8111839946759,0.011957288788652017,0.06129144302016898,0.15556169338597547,8.019272886530884e-7,9.224765037006507e-7,0.002595542728706609,123.5228032562208,1.8238319008766508e6,0.1987994982788226,0.420186516550278,26.2900257472877,133.45468110310816,53.55720370792542,2.037168172551175,0.9621651785714286,10.082848084438664
2,1,2,24,1.026400823929963e6,0.20955268695214246,0,879.1889487072978,458.89388270092036,0.010205847574717866,0.03474881037148962,0.06771689360788172,8.017046154711732e-7,9.222151260323797e-7,0.002550179850013512,133.03777878583335,1.8240517025750766e6,0.12235791785609768,0.22439637938345186,26.25747143001724,133.41020075498926,53.55558286650602,2.039632148481818,0.9622209821428571,10.08610234827477
3,1,3,24,517575.4341083331,0.20901994035668192,0,879.3690288422051,459.18017927026835,0.009543720454138068,0.029708796526444762,0.05405608346736561,8.017012939707346e-7,9.222121912413936e-7,0.00253022824819186,138.77884720701977,1.8240564337096119e6,0.10702179930209807,0.2010223223075848,26.262631414021033,133.4101824497975,53.56692683211253,2.039663352375053,0.9622209821428571,10.088238611324007
4,1,4,24,384235.18060605077,0.20977157194341792,0,879.4151290551235,459.44316435795656,0.009069358102409482,0.02668744955615553,0.04588167815710459,8.016987652782593e-7,9.222097639826751e-7,0.0025144522129379753,142.64131991920888,1.8240591607681706e6,0.09551962325982352,0.19292551977996672,26.25455610198796,133.4098540208898,53.56972008961963,2.0403970983749904,0.9622209821428571,10.08982442039711
5,1,5,24,277359.6603110244,0.20981083015277396,0,879.4395284295884,459.6013066233169,0.008822576391762649,0.024982108057306242,0.04164734495249684,8.016971166028425e-7,9.222080181631791e-7,0.0025041910445141604,145.27297688255646,1.824060912008413e6,0.09104783772420096,0.18684421654304675,26.247997139151032,133.40978645799942,53.57116284394504,2.0409619278736995,0.9622209821428571,10.090897222514272
6,1,6,24,245571.1601234768,0.21002824330688655,0,879.4849861273946,459.76344095913794,0.008630981591353778,0.023824672454565154,0.03892982124421388,8.016958769911651e-7,9.222063798775557e-7,0.0024959605997101893,147.0980594846643,1.824062061778262e6,0.08445404416788949,0.18158959684989343,26.245938736055813,133.40952459249132,53.57398962957292,2.0412296991295924,0.9622209821428571,10.091808386162436
7,1,7,24,150523.87717242833,0.2092398329827317,0,879.4645222273448,459.83754977251925,0.008501853801993826,0.022821856987628286,0.03675405796431531,8.016949438199479e-7,9.222051218198398e-7,0.0024904048772611594,148.75163619015837,1.8240630886945117e6,0.08338896420288833,0.17696094831874043,26.237468189901698,133.4093604292007,53.57259928724056,2.0418357022671736,0.9622209821428571,10.092402802548976
8,1,8,24,112145.38067294048,0.20900889814871723,0,879.4859156319094,459.88184729439604,0.008361436402707454,0.021826319843634867,0.03435301749900994,8.016941630602938e-7,9.222042465357256e-7,0.0024844867905402163,150.36387377553365,1.8240640821666962e6,0.07826158291620808,0.1714272806500537,26.234981931351886,133.40932307846995,53.573907076538944,2.042079053712475,0.9622209821428571,10.092970465143209
9,1,9,24,154556.3357978957,0.20867778477570487,0,879.4618272315299,459.8597518997042,0.008168974666452538,0.02079419747754363,0.0327325791938501,8.016929062736409e-7,9.222029555508997e-7,0.0024783072015761697,152.55202329393973,1.8240653508101772e6,0.07587125751984987,0.16578467687441173,26.229905765247857,133.40927122736062,53.57232937940336,2.0424141001063614,0.9622209821428571,10.093132787576828
10,1,10,24,115876.11459051096,0.20895652737997855,0,879.4892313263507,459.9139749525261,0.008064291595224612,0.0201458877273375,0.031397215078260224,8.016922435248936e-7,9.22202186144848e-7,0.0024735846425358423,153.74315089869603,1.8240660382715191e6,0.0747220899101598,0.16436237547192317,26.229905735796226,133.40912775300856,53.57404945493446,2.042479679285366,0.9622209821428571,10.093539536594273
